1,0
2,0
3,0
4,0
5,1
6,1
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,4
18,4
19,5
20,6
21,7
22,8
23,8
24,9
25,9
26,9
27,9
28,10
29,11
30,11
31,12
32,12
33,13
34,14
35,14
36,14
37,15
38,16
39,16
40,16
41,16
42,16
43,17
44,17
45,17
46,17
47,17
48,18
49,19
50,19
51,19
52,20
53,21
54,22
55,22
56,23
57,23
58,24
59,24
60,24
61,25
62,26
63,26
64,26
65,26
66,26
67,27
68,27
69,27
70,27
71,28
72,29
73,30
74,30
75,30
76,30
77,30
78,31
79,32
80,33
81,33
82,33
83,33
84,33
85,34
86,34
87,34
88,34
89,34
90,35
91,35
92,35
93,35
94,36
95,36
96,37
97,37
98,37
99,37
100,37
101,37
102,37
103,38
104,38
105,38
106,38
107,39
108,39
109,39
110,39
111,39
112,39
113,39
114,39
115,40
116,40
117,40
118,40
119,41
120,41
121,41
122,41
123,42
124,42
125,42
126,42
127,42
128,42
129,42
130,42
131,43
132,43
133,43
134,43
135,43
136,43
137,43
138,43
139,43
140,43
141,43
142,44
143,44
144,45
145,45
146,45
147,45
148,46
149,47
150,48
151,49
152,50
153,50
154,51
155,51
156,52
157,53
158,54
159,55
160,55
161,56
162,56
163,57
164,58
165,58
166,59
167,59
168,59
169,59
170,59
171,59
172,59
173,60
174,60
175,60
176,61
177,62
178,62
179,62
180,62
181,62
182,62
183,62
184,62
185,62
186,62
187,62
188,63
189,63
190,63
191,63
192,63
193,63
194,63
195,64
196,64
197,65
198,65
199,66
200,67
201,67
202,68
203,68
204,68
205,69
206,69
207,69
208,70
209,70
210,70
211,70
212,70
213,70
214,71
215,71
216,71
217,71
218,71
219,71
220,71
221,71
222,71
223,71
224,71
225,71
226,71
227,71
228,71
229,72
230,73
231,73
232,73
233,73
234,73
235,74
236,74
237,74
238,74
239,74
240,74
241,75
242,76
243,76
244,76
245,77
246,77
247,78
248,78
249,79
250,80
251,81
252,81
253,81
254,81
255,81
256,81
257,81
258,82
259,82
260,83
261,83
262,83
263,83
264,83
265,83
266,83
267,83
268,83
269,83
270,84
271,85
272,86
273,87
274,88
275,89
276,90
277,90
278,90
279,90
280,90
281,91
