1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,8
11,9
12,10
13,10
14,10
15,10
16,11
17,12
18,13
19,14
20,14
21,14
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,16
30,17
31,17
32,18
33,18
34,18
35,18
36,18
37,19
38,20
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,21
47,22
48,23
49,24
50,24
51,25
52,26
53,27
54,27
55,28
56,28
57,28
58,29
59,30
60,31
61,32
62,33
63,33
64,33
65,33
66,34
67,35
68,36
69,37
70,38
71,39
72,40
73,40
74,41
75,42
76,43
77,44
78,44
79,45
80,46
81,46
82,47
83,47
84,48
85,49
86,50
87,51
88,52
89,53
90,53
91,53
92,53
93,53
94,53
95,54
96,55
97,55
98,56
99,56
100,56
101,56
102,57
103,57
104,57
105,58
106,58
107,58
108,59
109,60
110,60
111,61
112,62
113,63
114,63
115,64
116,64
117,64
118,65
119,66
120,66
121,67
122,67
123,68
124,69
125,70
126,71
127,72
128,72
129,73
130,74
131,75
132,76
133,77
134,77
135,77
136,77
137,78
138,78
139,79
140,80
141,81
142,82
143,83
144,84
145,85
146,86
147,86
148,86
149,87
150,88
151,88
152,89
153,89
154,90
155,91
156,91
157,92
158,92
159,93
160,94
161,94
162,95
163,96
164,96
165,97
166,98
167,98
168,99
169,99
170,99
171,100
172,100
173,101
174,101
175,102
176,103
177,103
178,103
179,104
180,105
181,105
182,105
183,105
184,106
185,107
186,107
187,108
188,108
189,109
190,109
191,109
192,109
193,110
194,110
195,111
196,111
197,112
198,112
199,112
200,113
201,113
202,113
203,114
204,115
205,115
206,116
207,116
208,116
209,116
210,117
211,117
212,117
213,117
214,117
215,117
216,117
217,118
218,118
219,119
220,119
221,119
222,120
223,120
224,121
225,121
226,122
227,123
228,124
229,125
230,126
231,126
232,127
233,127
234,128
235,129
236,130
237,130
238,131
239,132
240,133
241,134
242,135
243,136
244,136
245,137
246,138
247,139
248,139
249,140
250,141
251,142
252,143
253,144
254,144
255,145
256,145
257,145
258,146
259,146
260,147
261,147
262,147
263,148
264,149
265,150
266,151
267,152
268,152
269,153
270,154
271,155
272,156
273,157
274,158
275,159
276,159
277,160
278,160
279,161
280,161
281,162
282,163
283,163
284,163
285,164
286,165
287,166
288,167
289,167
290,168
291,169
292,170
293,171
294,172
295,172
296,172
297,173
298,174
299,175
300,176
301,177
302,178
303,178
304,179
305,180
306,180
307,181
308,181
309,182
310,183
311,184
312,185
313,186
314,187
315,187
316,188
317,189
318,190
319,191
320,192
321,192
322,192
323,193
324,194
325,195
326,196
327,196
328,197
329,198
330,199
331,200
332,200
333,201
334,201
335,201
336,201
337,202
338,203
339,203
340,204
341,204
342,204
343,205
344,206
345,207
346,207
347,208
348,208
349,208
350,209
351,209
352,210
353,211
354,212
355,213
356,214
357,214
358,214
359,215
360,216
361,216
362,217
363,217
364,218
365,218
366,219
367,219
368,219
369,220
370,220
371,220
372,221
373,222
374,222
375,222
376,223
377,224
378,225
379,225
380,225
381,226
382,226
383,226
384,227
385,228
386,229
387,230
388,230
389,230
390,230
391,230
392,230
393,231
394,232
395,232
396,233
397,233
398,234
399,235
400,235
401,235
402,235
403,235
404,235
405,235
406,235
407,236
408,237
409,237
410,237
411,238
412,238
413,238
414,238
415,239
416,239
417,239
418,239
419,240
420,241
421,242
